latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.93546,-3.74398,301.12,0.45,0.39,2022-07-01,224,N,VIIRS,n,2,289.25,0.84,N,2
39.93785,-3.74533,308.41,0.45,0.39,2022-07-01,224,N,VIIRS,n,2,289.54,1.67,N,2
39.93896,-3.74284,301.26,0.45,0.39,2022-07-01,224,N,VIIRS,n,2,289.08,0.84,N,0
40.01023,-3.90084,299.94,0.45,0.39,2022-07-01,224,N,VIIRS,n,2,289.82,0.54,N,2
41.17016,-7.89123,295.93,0.39,0.36,2022-07-01,224,N,VIIRS,n,2,283.66,0.38,N,0
41.47591,-1.48889,298.57,0.52,0.42,2022-07-01,224,N,VIIRS,n,2,285.45,0.65,N,2
41.52939,1.80872,297.75,0.49,0.48,2022-07-01,224,N,VIIRS,n,2,287.69,0.63,N,2
41.70037,-8.7117,297.25,0.4,0.37,2022-07-01,224,N,VIIRS,n,2,287.12,0.42,N,0
42.8142,-1.74022,301.1,0.48,0.4,2022-07-01,224,N,VIIRS,n,2,282.79,1.05,N,2
42.9851,-9.08779,298.15,0.41,0.37,2022-07-01,224,N,VIIRS,n,2,285.57,0.86,N,2
43.2238,-2.8771,298.85,0.44,0.38,2022-07-01,224,N,VIIRS,n,2,282.85,0.42,N,0
43.34566,-8.43683,298.23,0.4,0.37,2022-07-01,224,N,VIIRS,n,2,285.01,0.65,N,2
43.5258,-5.72772,323.64,0.39,0.36,2022-07-01,224,N,VIIRS,n,2,285.88,1.7,N,2
43.52657,-5.73244,299.56,0.39,0.36,2022-07-01,224,N,VIIRS,n,2,285.64,0.7,N,2
43.52984,-5.73143,304.92,0.39,0.36,2022-07-01,224,N,VIIRS,n,2,284.23,0.7,N,2
43.53939,-5.8325,314.77,0.39,0.36,2022-07-01,224,N,VIIRS,n,2,285.08,1.77,N,2
43.5538,-5.85776,298.85,0.38,0.36,2022-07-01,224,N,VIIRS,n,2,284.67,0.67,N,2
36.12843,1.24173,302.15,0.61,0.54,2022-07-01,225,N,VIIRS,n,2,290.36,1.66,N,2
36.59783,2.87693,298.77,0.36,0.58,2022-07-01,225,N,VIIRS,n,2,288.22,0.57,N,2
36.71404,-4.33217,302.06,0.48,0.4,2022-07-01,225,N,VIIRS,n,2,291.75,0.57,N,2
37.17785,-6.89389,315.69,0.4,0.37,2022-07-01,225,N,VIIRS,n,2,291.06,2.02,N,0
37.36089,-5.86497,313.27,0.42,0.37,2022-07-01,225,N,VIIRS,n,2,292.63,1.14,N,2
38.37927,-6.48341,303.05,0.4,0.37,2022-07-01,225,N,VIIRS,n,2,289.27,0.75,N,2
38.5018,-8.93677,327.95,0.39,0.36,2022-07-01,225,N,VIIRS,n,2,290.53,3.19,N,2
38.54303,-6.24788,298.85,0.4,0.37,2022-07-01,225,N,VIIRS,n,2,287.57,0.34,N,0
38.63148,-9.07765,302.91,0.39,0.36,2022-07-01,225,N,VIIRS,n,2,289.71,0.85,N,2
38.66633,-4.04971,296.98,0.46,0.39,2022-07-01,225,N,VIIRS,n,2,286.32,0.59,N,2
38.89759,-3.71629,302.29,0.47,0.4,2022-07-01,225,N,VIIRS,n,2,286.69,0.53,N,0
38.92234,-9.00928,300.6,0.39,0.36,2022-07-01,225,N,VIIRS,n,2,289.85,0.72,N,2
40.28979,-8.42034,298.17,0.39,0.36,2022-07-01,225,N,VIIRS,n,2,287.01,0.7,N,2
38.5166,-5.17481,339.67,0.74,0.76,2022-07-01,1206,N,VIIRS,n,2,307.15,4.76,D,0
38.52262,-5.17365,338.41,0.74,0.76,2022-07-01,1206,N,VIIRS,n,2,306.03,6.02,D,0
39.5861,-2.06749,357.2,0.49,0.65,2022-07-01,1206,N,VIIRS,l,2,299.79,5.13,D,0
39.58767,-2.06215,349.28,0.49,0.65,2022-07-01,1206,N,VIIRS,n,2,300.17,5.13,D,0
39.58923,-2.0568,337.34,0.49,0.65,2022-07-01,1206,N,VIIRS,n,2,300.32,6.31,D,0
39.5918,-2.07025,338.67,0.49,0.65,2022-07-01,1206,N,VIIRS,n,2,299.37,5.13,D,0
39.14772,-5.86479,332.52,0.76,0.77,2022-07-01,1207,N,VIIRS,l,2,305.02,3.46,D,0
41.82169,3.0287,345.4,0.48,0.48,2022-07-01,1207,N,VIIRS,l,2,318.38,163.12,D,0
41.8231,3.03471,342.33,0.48,0.48,2022-07-01,1207,N,VIIRS,n,2,302.25,26.58,D,0
41.82478,3.02185,355.39,0.48,0.48,2022-07-01,1207,N,VIIRS,n,2,295.47,36.15,D,0
42.55553,-2.61999,333.03,0.43,0.62,2022-07-01,1207,N,VIIRS,n,2,300.5,2.24,D,0
43.52304,-5.73147,325.6,0.55,0.68,2022-07-01,1208,N,VIIRS,l,2,297.34,6.07,D,2
38.50286,-8.93425,332.73,0.44,0.39,2022-07-01,1347,N,VIIRS,l,2,307.23,2.08,D,2
38.74939,-9.32307,345.81,0.43,0.38,2022-07-01,1347,N,VIIRS,n,2,308.56,67.53,D,0
38.74969,-9.32049,343.45,0.43,0.38,2022-07-01,1347,N,VIIRS,n,2,304.82,61.65,D,0
38.75257,-9.32615,306.91,0.43,0.38,2022-07-01,1347,N,VIIRS,l,2,309.25,36.74,D,0
38.7529,-9.32379,367.0,0.43,0.38,2022-07-01,1347,N,VIIRS,h,2,345.08,67.53,D,0
38.7532,-9.32123,367.0,0.43,0.38,2022-07-01,1347,N,VIIRS,h,2,334.17,61.65,D,0
38.7535,-9.31887,336.53,0.43,0.38,2022-07-01,1347,N,VIIRS,n,2,304.28,42.46,D,0
38.7564,-9.3245,351.23,0.43,0.38,2022-07-01,1347,N,VIIRS,n,2,319.97,37.88,D,0
40.74073,-6.41366,349.22,0.4,0.44,2022-07-01,1347,N,VIIRS,n,2,317.4,8.1,D,0
41.81846,3.02582,334.61,0.62,0.71,2022-07-01,1347,N,VIIRS,n,2,293.63,42.85,D,0
41.81857,3.03354,335.23,0.62,0.71,2022-07-01,1347,N,VIIRS,n,2,295.76,42.85,D,0
41.8202,3.02287,346.24,0.62,0.71,2022-07-01,1347,N,VIIRS,n,2,294.54,13.28,D,0
41.82026,3.03085,356.39,0.62,0.71,2022-07-01,1347,N,VIIRS,n,2,297.43,20.71,D,0
41.82513,3.02317,343.81,0.62,0.71,2022-07-01,1347,N,VIIRS,n,2,304.93,42.85,D,0
41.82524,3.03069,367.0,0.62,0.71,2022-07-01,1347,N,VIIRS,h,2,298.22,42.85,D,0
41.82689,3.02037,336.82,0.62,0.71,2022-07-01,1347,N,VIIRS,n,2,296.58,68.99,D,0
41.82695,3.02775,367.0,0.62,0.71,2022-07-01,1347,N,VIIRS,h,2,298.6,97.88,D,0
42.45135,-6.03537,337.93,0.43,0.46,2022-07-01,1348,N,VIIRS,n,2,304.73,3.17,D,0
42.63008,2.97533,326.92,0.62,0.71,2022-07-01,1348,N,VIIRS,n,2,294.23,2.53,D,0
43.52391,-5.72964,348.78,0.46,0.47,2022-07-01,1348,N,VIIRS,n,2,304.18,7.51,D,2
43.02381,3.02912,302.87,0.48,0.4,2022-07-02,204,N,VIIRS,n,2,290.31,0.86,N,2
39.9515,-0.00523,304.97,0.42,0.38,2022-07-02,205,N,VIIRS,n,2,294.49,1.32,N,2
41.24276,1.85917,302.71,0.46,0.39,2022-07-02,205,N,VIIRS,n,2,291.29,0.71,N,0
41.31114,1.66373,305.83,0.46,0.39,2022-07-02,205,N,VIIRS,n,2,289.65,1.31,N,2
41.40518,1.99788,311.47,0.47,0.39,2022-07-02,205,N,VIIRS,n,2,290.85,1.76,N,2
41.47537,-1.48526,302.54,0.39,0.36,2022-07-02,205,N,VIIRS,n,2,289.26,0.34,N,2
41.54813,-1.3078,335.37,0.39,0.36,2022-07-02,205,N,VIIRS,n,2,290.89,5.7,N,0
42.81235,-1.74445,304.02,0.38,0.36,2022-07-02,205,N,VIIRS,n,2,284.27,1.18,N,2
42.81563,-1.74349,316.43,0.38,0.36,2022-07-02,205,N,VIIRS,n,2,286.33,1.18,N,2
43.03513,-2.21723,295.81,0.38,0.36,2022-07-02,205,N,VIIRS,n,2,284.72,0.9,N,2
43.03585,-2.22191,311.52,0.38,0.36,2022-07-02,205,N,VIIRS,n,2,285.49,0.9,N,2
43.33101,-5.77503,297.13,0.45,0.39,2022-07-02,205,N,VIIRS,n,2,285.82,0.71,N,2
43.52242,-5.73098,298.81,0.45,0.39,2022-07-02,205,N,VIIRS,n,2,286.44,0.65,N,2
43.52599,-5.73014,308.44,0.45,0.39,2022-07-02,205,N,VIIRS,n,2,287.91,1.0,N,2
43.52958,-5.72932,303.74,0.45,0.39,2022-07-02,205,N,VIIRS,n,2,286.54,1.0,N,2
43.53803,-5.8319,330.65,0.46,0.39,2022-07-02,205,N,VIIRS,n,2,286.76,7.19,N,2
43.54163,-5.83106,330.57,0.46,0.39,2022-07-02,205,N,VIIRS,n,2,288.73,7.19,N,2
43.55221,-5.85809,297.09,0.46,0.39,2022-07-02,205,N,VIIRS,n,2,287.06,0.71,N,2
36.96544,-1.90414,307.56,0.4,0.37,2022-07-02,206,N,VIIRS,n,2,292.26,0.61,N,2
37.35923,-5.86752,308.39,0.41,0.37,2022-07-02,206,N,VIIRS,n,2,295.13,1.2,N,2
38.31806,-0.64609,302.24,0.42,0.38,2022-07-02,206,N,VIIRS,n,2,290.57,0.68,N,0
38.31891,-0.65078,305.45,0.42,0.38,2022-07-02,206,N,VIIRS,n,2,291.0,0.93,N,0
38.32147,-0.64514,300.72,0.42,0.38,2022-07-02,206,N,VIIRS,n,2,290.59,0.61,N,0
38.32233,-0.64981,309.41,0.42,0.38,2022-07-02,206,N,VIIRS,n,2,290.92,0.75,N,0
38.50229,-8.93639,317.05,0.54,0.42,2022-07-02,206,N,VIIRS,n,2,290.72,2.46,N,2
38.50237,-8.93678,315.13,0.54,0.42,2022-07-02,206,N,VIIRS,n,2,290.01,2.58,N,2
38.62936,-9.08104,304.95,0.55,0.43,2022-07-02,206,N,VIIRS,n,2,290.04,1.13,N,2
38.93997,-6.43969,323.91,0.43,0.38,2022-07-02,206,N,VIIRS,n,2,291.41,1.71,N,0
39.93526,-3.74326,306.75,0.39,0.36,2022-07-02,206,N,VIIRS,n,2,292.92,0.94,N,2
